Episode,Reward
0,0
1,4.636144578313269
2,3.6027210884353833
3,4.700000000000019
4,4.935955056179797
5,6.406844106463897
6,3.64931506849316
7,4.626315789473704
8,5.052416356877345
9,3.6039215686274684
10,2.6479532163742743
11,3.3573770491803363
12,4.152941176470599
13,4.020216606498206
14,4.226315789473706
15,3.1634441087613436
16,4.126007326007337
17,4.516666666666688
18,3.4006600660066093
19,4.075000000000019
20,4.948905109489072
21,5.114285714285735
22,5.269491525423746
23,5.778195488721824
24,4.0463768115942145
25,5.657707509881444
26,5.369491525423745
27,2.9919504643962918
28,5.289010989011009
29,4.844827586206915
30,6.2187500000000195
31,4.423809523809542
32,2.355555555555559
33,4.801010101010121
34,4.80408163265308
35,3.0893081761006362
36,5.029411764705904
37,7.133333333333356
38,3.4666666666666757
39,2.9919504643962918
40,6.594252873563235
41,5.373972602739743
42,3.155223880597029
43,5.120754716981153
44,4.666777408637893
45,4.318796992481214
46,4.469491525423749
47,3.189776357827484
48,6.489010989011005
49,6.6940298507462845
50,5.163636363636385
51,6.600000000000019
52,4.072727272727284
53,2.597101449275367
54,5.563636363636384
55,2.8975609756097622
56,6.2481327800830115
57,3.0893081761006362
58,3.189776357827484
59,2.8422960725075592
